Tree_ID,Date_Modif,Species_ID,Name_Botan,Name_Commo,Height_Gro,Height_Min,Height_Max,DBH_Group,DBH_Min,DBH_Max,District,Address,Street,On_Address,On_Street,Tree_Numbe,Location_D,Census_Tra,california,long_NAD83,lat_nad83
10945727,12/3/2020 7:27,84,Araucaria heterophylla,Norfolk Island Pine,1,1,15,1,0,6,19,2,LOS AMIGOS PARK,2,LOS AMIGOS PARK,5,Park,16,363,363147.8395,3763887.873
10923718,12/1/2020 16:01,15,Lophostemon confertus,Brisbane Box,1,1,15,1,0,6,16,2020,PICO BL,2020,PICO BL,2,Front,18,363,364393.0465,3765321.849
10934890,11/30/2020 14:53,121,Laurus nobilis,Sweet Bay,1,1,15,1,0,6,14,2832,ARIZONA AV,2832,ARIZONA AV,1,Front,10,364,364001.8012,3767203.546
10934893,11/30/2020 14:53,56,Ficus microcarpa 'Nitida',Indian Laurel Fig,2,15,30,6,31,0,14,2827,ARIZONA AV,2827,ARIZONA AV,1,Front,10,364,363981.1706,3767200.98
10934896,11/30/2020 9:27,56,Ficus microcarpa 'Nitida',Indian Laurel Fig,2,15,30,5,25,30,14,2811,ARIZONA AV,2811,ARIZONA AV,1,Front,10,364,363947.7034,3767171.797
10934892,11/30/2020 9:27,56,Ficus microcarpa 'Nitida',Indian Laurel Fig,2,15,30,5,25,30,14,2831,ARIZONA AV,2831,ARIZONA AV,1,Front,10,364,363992.6787,3767212.225
10934895,11/30/2020 9:27,56,Ficus microcarpa 'Nitida',Indian Laurel Fig,2,15,30,4,19,24,14,2817,ARIZONA AV,2817,ARIZONA AV,1,Front,10,364,363956.0702,3767179.578
10934886,11/30/2020 9:27,56,Ficus microcarpa 'Nitida',Indian Laurel Fig,3,30,45,6,31,0,14,2816,ARIZONA AV,2816,ARIZONA AV,1,Front,10,364,363966.3165,3767168.215
10934897,11/30/2020 9:27,56,Ficus microcarpa 'Nitida',Indian Laurel Fig,2,15,30,5,25,30,14,2803,ARIZONA AV,2803,ARIZONA AV,2,Front,10,364,363940.5444,3767165.944
10934894,11/30/2020 9:27,56,Ficus microcarpa 'Nitida',Indian Laurel Fig,2,15,30,6,31,0,14,2817,ARIZONA AV,2817,ARIZONA AV,2,Front,10,364,363971.3725,3767191.904
10934898,11/30/2020 9:27,56,Ficus microcarpa 'Nitida',Indian Laurel Fig,2,15,30,6,31,0,14,2803,ARIZONA AV,2803,ARIZONA AV,1,Front,10,364,363931.0318,3767156.218
10941811,11/24/2020 9:24,116,Magnolia grandiflora,Southern Magnolia,2,15,30,2,7,12,11,926,BROADWAY,926,BROADWAY,1,Front,12,368,362589.3605,3765294.755
10941344,11/23/2020 8:18,46,Afrocarpus gracilior,Fern Pine,3,30,45,3,13,18,10,1350,7TH ST,1350,7TH ST,7,Front,15,368,362184.2303,3765248.646
10941342,11/23/2020 8:18,46,Afrocarpus gracilior,Fern Pine,3,30,45,3,13,18,10,1350,7TH ST,1350,7TH ST,5,Front,15,368,362170.4987,3765265.429
10941343,11/23/2020 8:18,46,Afrocarpus gracilior,Fern Pine,2,15,30,2,7,12,10,1350,7TH ST,1350,7TH ST,6,Front,15,368,362176.8607,3765260.284
10922795,11/19/2020 14:05,462,Ulmus parvifolia 'Drake',Drake Elm,2,15,30,1,0,6,15,1744,FRANKLIN ST,1744,FRANKLIN ST,1,Front,13,364,364942.9532,3766773.699
10942326,11/18/2020 11:33,56,Ficus microcarpa 'Nitida',Indian Laurel Fig,4,45,60,6,31,0,17,1863,10TH ST,1863,10TH ST,2,Front,14,364,363230.7438,3764705.541
10934876,11/16/2020 11:59,56,Ficus microcarpa 'Nitida',Indian Laurel Fig,3,30,45,6,31,0,14,1304,PRINCETON ST,2630,ARIZONA AV,1,Side,10,364,363839.1698,3767045.952
