OBJECTID,id,created,updated,source,species,family,genus,native_ran,max_height,tree_shape,foliage_ty,density_in,longevity,dbh_lo,dbh_hi,height_lo,height_hi,stems,trunks,canopy,zip,place,county,cz,lat_NAD83,long_NAD83
"4928053","2552675",,,WCA,Fraxinus pennsylvanica,Oleaceae,Fraxinus,North America,50.00000000000,Oval,Deciduous,Dense,Very Long,13.00000000000,18.00000000000,15.00000000000,30.00000000000,,,,90805.00000000000,Long Beach,Los Angeles,Southern California Coast,3746013.1830000002,389070.1048000000
"2703955","2511440",,,WCA,Ligustrum lucidum,Oleaceae,Ligustrum,Asia,40.00000000000,Rounded or Vase,Evergreen,Dense to Very Dense,,13.00000000000,18.00000000000,15.00000000000,30.00000000000,,,,90805.00000000000,Long Beach,Los Angeles,Southern California Coast,3747458.5759999999,393590.9129000000
"3251637","2519780",,,WCA,Cupaniopsis anacardioides,Sapindaceae,Cupaniopsis,Australia,40.00000000000,Oval,Evergreen,Moderate,Average,13.00000000000,18.00000000000,15.00000000000,30.00000000000,,,,90808.00000000000,Long Beach,Los Angeles,Southern California Coast,3742863.9339999999,395223.8510000000
"5004265","5533270",,,WCA,Platanus racemosa,Platanaceae,Platanus,North America,66.00000000000,"Oval, Rounded or Umbrella",Deciduous,Dense,Very Long,19.00000000000,24.00000000000,60.00000000000,0.00000000000,,,,90808.00000000000,Long Beach,Los Angeles,Southern California Coast,3742820.9759999998,399166.8089000000
"2675851","2531572",,,WCA,Jacaranda mimosifolia,Bignoniaceae,Jacaranda,South America,50.00000000000,"Oval, Rounded or Umbrella",Deciduous to Partly Deciduous,Moderately Low,Moderately Short,25.00000000000,30.00000000000,45.00000000000,60.00000000000,,,,90807.00000000000,Long Beach,Los Angeles,Southern California Coast,3745495.6779999998,390752.0365000000
"2056208","2507741",,,WCA,Jacaranda mimosifolia,Bignoniaceae,Jacaranda,South America,50.00000000000,"Oval, Rounded or Umbrella",Deciduous to Partly Deciduous,Moderately Low,Moderately Short,13.00000000000,18.00000000000,15.00000000000,30.00000000000,,,,90803.00000000000,Long Beach,Los Angeles,Southern California Coast,3737519.7439999999,397202.3867000000
"952309","2572833",,,WCA,Jacaranda mimosifolia,Bignoniaceae,Jacaranda,South America,50.00000000000,"Oval, Rounded or Umbrella",Deciduous to Partly Deciduous,Moderately Low,Moderately Short,7.00000000000,12.00000000000,30.00000000000,45.00000000000,,,,90805.00000000000,Long Beach,Los Angeles,Southern California Coast,3749086.9120000000,388710.6448000000
"2674806","2562211",,,WCA,Ulmus parvifolia,Ulmaceae,Ulmus,Asia,45.00000000000,"Oval, Rounded or Umbrella",Evergreen to Partly Deciduous,Moderate,Average,25.00000000000,30.00000000000,30.00000000000,45.00000000000,,,,90815.00000000000,Long Beach,Los Angeles,Southern California Coast,3738736.0230000000,398301.9033000000
"4974066","5537656",,,WCA,Pinus canariensis,Pinaceae,Pinus,Europe and North Africa,66.00000000000,Columnar or Conical,Evergreen,Moderate to Dense,Average,25.00000000000,30.00000000000,60.00000000000,0.00000000000,,,,90808.00000000000,Long Beach,Los Angeles,Southern California Coast,3741922.3029999998,399495.1320000000
"3781116","2519736",,,WCA,Schinus terebinthifolia,Anacardiaceae,Schinus,South America,30.00000000000,Umbrella,Evergreen,Moderately Dense,Average,13.00000000000,18.00000000000,30.00000000000,45.00000000000,,,,90815.00000000000,Long Beach,Los Angeles,Southern California Coast,3741436.4449999998,395232.5098000000
"4354443","2586302",,,WCA,Cinnamomum camphora,Lauraceae,Cinnamomum,Asia,45.00000000000,Rounded,Evergreen,Dense to Very Dense,,13.00000000000,18.00000000000,15.00000000000,30.00000000000,,,,90804.00000000000,Long Beach,Los Angeles,Southern California Coast,3738626.1490000002,395342.9546000000
"5668150","2519520",,,WCA,Fraxinus velutina,Oleaceae,Fraxinus,North America,50.00000000000,Oval or Umbrella,Deciduous,Moderate,Average,13.00000000000,18.00000000000,30.00000000000,45.00000000000,,,,90810.00000000000,Long Beach,Los Angeles,Southern California Coast,3743036.4160000002,388071.4792000000
"333358","2556464",,,WCA,Schinus molle,Anacardiaceae,Schinus,South America,50.00000000000,Rounded or Umbrella,Evergreen,Moderate to Dense,Average,25.00000000000,30.00000000000,30.00000000000,45.00000000000,,,,90808.00000000000,Long Beach,Los Angeles,Southern California Coast,3744513.0499999998,394395.2661000000
"2631105","2518498",,,WCA,Koelreuteria bipinnata,Sapindaceae,Koelreuteria,Asia,40.00000000000,"Rounded, Umbrella or Vase",Deciduous,Moderate,Average,25.00000000000,30.00000000000,30.00000000000,45.00000000000,,,,90810.00000000000,Long Beach,Los Angeles,Southern California Coast,3742976.3539999998,387992.6781000000
"2129642","2553602",,,WCA,Ceratonia siliqua,Fabaceae,Ceratonia,Europe and North Africa,40.00000000000,Rounded or Umbrella,Evergreen,Very Dense,Very Long,31.00000000000,0.00000000000,30.00000000000,45.00000000000,,,,90815.00000000000,Long Beach,Los Angeles,Southern California Coast,3741055.0950000002,396626.2835000000
"5502972","2596976",,,WCA,Fraxinus uhdei,Oleaceae,Fraxinus,North America,66.00000000000,Oval,Evergreen to Partly Deciduous,Moderately Dense,Average,19.00000000000,24.00000000000,15.00000000000,30.00000000000,,,,90807.00000000000,Long Beach,Los Angeles,Southern California Coast,3743951.3550000000,388722.5573000000
"3204606","2584521",,,WCA,Geijera parviflora,Rutaceae,Geijera,Australia,35.00000000000,Oval,Evergreen,Moderate,Average,19.00000000000,24.00000000000,15.00000000000,30.00000000000,,,,90806.00000000000,Long Beach,Los Angeles,Southern California Coast,3741671.5770000000,388617.5220000000
"1646718","2534118",,,WCA,Washingtonia robusta,Arecaceae,Washingtonia,North America,66.00000000000,Fan Palm,Evergreen,Dense,Average,19.00000000000,24.00000000000,45.00000000000,60.00000000000,,,,90807.00000000000,Long Beach,Los Angeles,Southern California Coast,3744141.8799999999,389394.2624000000
"5549449","2511720",,,WCA,Jacaranda mimosifolia,Bignoniaceae,Jacaranda,South America,50.00000000000,"Oval, Rounded or Umbrella",Deciduous to Partly Deciduous,Moderately Low,Moderately Short,7.00000000000,12.00000000000,15.00000000000,30.00000000000,,,,90808.00000000000,Long Beach,Los Angeles,Southern California Coast,3742907.2089999998,400071.8201000000
"2794407","2509105",,,WCA,Ulmus parvifolia,Ulmaceae,Ulmus,Asia,45.00000000000,"Oval, Rounded or Umbrella",Evergreen to Partly Deciduous,Moderate,Average,13.00000000000,18.00000000000,45.00000000000,60.00000000000,,,,90813.00000000000,Long Beach,Los Angeles,Southern California Coast,3739267.0070000002,391403.3283000000
