id,created,updated,source,species,family,genus,native_ran,max_height,tree_shape,foliage_ty,density_in,longevity,dbh_lo,dbh_hi,height_lo,height_hi,stems,trunks,canopy,zip,place,county,cz,POINT_X,POINT_Y
"5706676",,,WCA,Pinus canariensis,Pinaceae,Pinus,Europe and North Africa,66.00000000000,Columnar or Conical,Evergreen,Moderate to Dense,Average,19.00000000000,24.00000000000,45.00000000000,60.00000000000,,,,92503.00000000000,Riverside,Riverside,Inland Empire,455886.68555100000,3757357.81388999987
"5706680",,,WCA,Pinus canariensis,Pinaceae,Pinus,Europe and North Africa,66.00000000000,Columnar or Conical,Evergreen,Moderate to Dense,Average,19.00000000000,24.00000000000,45.00000000000,60.00000000000,,,,92503.00000000000,Riverside,Riverside,Inland Empire,455964.04710700002,3757356.81722000008
"5220713",,,WCA,Pinus canariensis,Pinaceae,Pinus,Europe and North Africa,66.00000000000,Columnar or Conical,Evergreen,Moderate to Dense,Average,13.00000000000,18.00000000000,60.00000000000,0.00000000000,,,,92501.00000000000,Riverside,Riverside,Inland Empire,466453.85201600002,3763689.93937999988
"4198066",,,WCA,Quercus agrifolia,Fagaceae,Quercus,North America,66.00000000000,Rounded or Umbrella,Evergreen,Moderately Dense,Very Long,7.00000000000,12.00000000000,1.00000000000,15.00000000000,,,,92506.00000000000,Riverside,Riverside,Inland Empire,466383.58733499999,3757180.80793000013
"5243204",,,WCA,Cinnamomum camphora,Lauraceae,Cinnamomum,Asia,45.00000000000,Rounded,Evergreen,Dense to Very Dense,,25.00000000000,30.00000000000,30.00000000000,45.00000000000,,,,92503.00000000000,Riverside,Riverside,Inland Empire,457614.01253399998,3753000.05266000004
"5781183",,,WCA,Phoenix canariensis,Arecaceae,Phoenix,Europe and North Africa,60.00000000000,Feather Palm,Evergreen,Moderately Low,Average,31.00000000000,0.00000000000,1.00000000000,15.00000000000,,,,92507.00000000000,Riverside,Riverside,Inland Empire,466477.30131700000,3759103.19664999982
"5732164",,,WCA,Washingtonia robusta,Arecaceae,Washingtonia,North America,66.00000000000,Fan Palm,Evergreen,Dense,Average,19.00000000000,24.00000000000,45.00000000000,60.00000000000,,,,92505.00000000000,Riverside,Riverside,Inland Empire,457572.63800899999,3751791.38782999991
"5253556",,,WCA,Washingtonia robusta,Arecaceae,Washingtonia,North America,66.00000000000,Fan Palm,Evergreen,Dense,Average,13.00000000000,18.00000000000,45.00000000000,60.00000000000,,,,92506.00000000000,Riverside,Riverside,Inland Empire,467132.11209700000,3756554.77875000006
"4196480",,,WCA,Brachychiton populneus,Malvaceae,Brachychiton,Australia,50.00000000000,Conical,Evergreen,Moderate to Dense,Average,7.00000000000,12.00000000000,15.00000000000,30.00000000000,,,,92504.00000000000,Riverside,Riverside,Inland Empire,462046.79701099999,3756938.13701000018
"5752247",,,WCA,Cupressus sempervirens,Cupressaceae,Cupressus,Europe and Asia,60.00000000000,Columnar,Evergreen,Dense,Average,13.00000000000,18.00000000000,30.00000000000,45.00000000000,,,,92507.00000000000,Riverside,Riverside,Inland Empire,467332.26566199999,3758862.80269999988
"5416142",,,WCA,Schinus terebinthifolia,Anacardiaceae,Schinus,South America,30.00000000000,Umbrella,Evergreen,Moderately Dense,Average,19.00000000000,24.00000000000,30.00000000000,45.00000000000,,,,92503.00000000000,Riverside,Riverside,Inland Empire,455906.37886200001,3750382.11101000011
"4198343",,,WCA,Morus alba,Moraceae,Morus,Asia,50.00000000000,Rounded,Deciduous,Dense to Very Dense,,19.00000000000,24.00000000000,1.00000000000,15.00000000000,,,,92506.00000000000,Riverside,Riverside,Inland Empire,465904.52002400003,3756938.17464999994
"5789027",,,WCA,Robinia pseudoacacia,Fabaceae,Robinia,North America,50.00000000000,Oval,Deciduous,Low to Moderately Low,,7.00000000000,12.00000000000,15.00000000000,30.00000000000,,,,92504.00000000000,Riverside,Riverside,Inland Empire,467903.66800700000,3748766.41789000016
"5730445",,,WCA,Lagerstroemia,Lythraceae,Lagerstroemia,,0.00000000000,,,,,0.00000000000,6.00000000000,1.00000000000,15.00000000000,,,,92504.00000000000,Riverside,Riverside,Inland Empire,462939.05740900000,3759157.16117000021
"4196487",,,WCA,Fraxinus uhdei,Oleaceae,Fraxinus,North America,66.00000000000,Oval,Evergreen to Partly Deciduous,Moderately Dense,Average,25.00000000000,30.00000000000,60.00000000000,0.00000000000,,,,92504.00000000000,Riverside,Riverside,Inland Empire,461989.24898099998,3756898.37030000007
"5775276",,,WCA,Fraxinus uhdei,Oleaceae,Fraxinus,North America,66.00000000000,Oval,Evergreen to Partly Deciduous,Moderately Dense,Average,25.00000000000,30.00000000000,45.00000000000,60.00000000000,,,,92506.00000000000,Riverside,Riverside,Inland Empire,466391.36303399998,3757216.62845000019
"5415664",,,WCA,Pyrus calleryana,Rosaceae,Pyrus,Asia,40.00000000000,Conical or Oval,Deciduous,Moderately Dense,Average,7.00000000000,12.00000000000,15.00000000000,30.00000000000,,,,92505.00000000000,Riverside,Riverside,Inland Empire,455600.60207099997,3752282.99170000013
"5706683",,,WCA,Pinus canariensis,Pinaceae,Pinus,Europe and North Africa,66.00000000000,Columnar or Conical,Evergreen,Moderate to Dense,Average,19.00000000000,24.00000000000,45.00000000000,60.00000000000,,,,92503.00000000000,Riverside,Riverside,Inland Empire,456010.81234900001,3757355.41871999996
"4196681",,,WCA,Quercus agrifolia,Fagaceae,Quercus,North America,66.00000000000,Rounded or Umbrella,Evergreen,Moderately Dense,Very Long,7.00000000000,12.00000000000,1.00000000000,15.00000000000,,,,92504.00000000000,Riverside,Riverside,Inland Empire,461520.18994399998,3757793.83342000004
"5757372",,,WCA,Cinnamomum camphora,Lauraceae,Cinnamomum,Asia,45.00000000000,Rounded,Evergreen,Dense to Very Dense,,31.00000000000,0.00000000000,60.00000000000,0.00000000000,,,,92508.00000000000,Riverside,Riverside,Inland Empire,469633.39949799998,3751820.03898000019
